workerID,gender,age,income,language,condition,order,pesonA,personB,food,totalQuant,eatenQuant,preciseEatenQuant,quantifier,affect
19,M,35,6,english,hyperbolic,4,Rebecca,Calvin,blueberries,10,9,9,all,She thinks that Calvin is a glutton
19,M,35,6,english,hyperbolic,5,Fiona,Matt,strawberries,100,7,70,all,She thinks that Matt should not have eaten so many
19,M,35,6,english,true-some,6,Oliver,Steven,blueberries,10,3,3,some,He is surprise by how many Steven ate.
19,M,35,6,english,true-all,7,Iris,Nancy,bananas,10,10,10,all,She thinks that Nancy should not have eaten all of them.
20,F,35,6,English,ironic,1,Kevin,Rebecca,pies,100,0,1,all,Kevin felt Rebecca ate too much of the pie and she should not have eaten an entire pie.
20,F,35,6,English,hyperbolic,2,David,Jane,M&M's,10,7,7,all,David feels Jane behavior was inappropriate and she ate too many M&M's
20,F,35,6,English,true-some,3,Robert,Edward,blueberries,10,3,3,some,Robert does not feel offended by Edward's behavior.
20,F,35,6,English,hyperbolic,4,Stephanie,Fiona,pies,10,9,9,all,Stephanie felt offended bu Fiona's behavior and was upset that Fiona ate all of the pies.
20,F,35,6,English,true-all,5,Ivan,Diana,M&M's,10,10,10,all,Ivan is upset that Diane ate all of the M&M's.
20,F,35,6,English,literal-some,6,Ann,Henry,bananas,10,10,10,some,Ann feels fine with Henry's behavior and did not emphasize the fact that Henry ate all of the bananas.
20,F,35,6,English,hyperbolic,7,Grace,Winston,strawberries,10,8,8,all,Grace does not like Winston's behavior and felt that Winston's should not have eaten the amount of strawberries that he ate.
