workerID,gender,age,income,language,condition,order,personA,personB,food,totalQuant,eatenQuant,preciseEatenQuant,quantifier,upset,annoyed,angry,disgusted,excited,happy,surprised,neutral
6,F,35,0,english,literal-some,10,Fiona,Winston,strawberries,10,10,10,some,0.55,0.825,0.75,0.5,0.5,0.325,0.625,0.5
6,F,35,0,english,true-some,11,Bob,Heather,blueberries,10,8,8,some,0.625,0.725,0.625,0.125,0.6,0.35,0.55,0.375
6,F,35,0,english,hyperbolic,12,Nathan,Steven,M&M's,100,8,89,all,0.775,0.9,0.85,0.7,0.5,0.425,0.625,0.375
7,F,35,4,English,true-all,1,Ann,Victor,M&M's,10,10,10,all,0.925,0.9,0.875,0.9,0.025,0.025,0.925,0.025
7,F,35,4,English,true-some,2,Tom,Wendy,cookies,10,8,8,some,0.575,0.55,0.6,0.55,0.075,0.375,0.425,0.45
7,F,35,4,English,hyperbolic,3,Cathy,Nancy,strawberries,10,8,8,all,0.875,0.925,0.95,0.975,0.75,0,0.925,0
7,F,35,4,English,hyperbolic,4,Oliver,Barbara,bananas,100,8,84,all,0.9,0.95,0.9,0.9,0.625,0,0.9,0.025
7,F,35,4,English,true-all,5,Kathy,Robert,M&M's,100,10,100,all,0.975,0.925,0.975,0.975,0.775,0,1,0
7,F,35,4,English,true-some,6,Rebecca,Olga,blueberries,100,8,87,some,0.725,0.675,0.7,0.7,0.625,0,0.675,0.175
7,F,35,4,English,literal-some,7,Fiona,Lena,strawberries,100,10,100,some,0.75,0.725,0.675,0.725,0.625,0.325,0.725,0.125
7,F,35,4,English,literal-some,8,Larry,Zack,strawberries,10,10,10,some,0.675,0.675,0.7,0.7,0.275,0.275,0.675,0.25
7,F,35,4,English,true-some,9,Jane,Stephanie,blueberries,100,3,34,some,0.425,0.45,0.425,0.475,0.375,0.55,0.525,0.5
7,F,35,4,English,true-some,10,Victoria,Emma,M&M's,10,3,3,some,0.2,0.175,0.15,0.35,0.6,0.575,0.325,0.275
7,F,35,4,English,hyperbolic,11,Jake,Heather,pies,100,3,37,all,0.825,0.85,0.825,0.825,0.675,0.1,0.85,0.05
7,F,35,4,English,hyperbolic,12,Calvin,Albert,pies,10,3,3,all,0.8,0.8,0.825,0.8,0.65,0.075,0.75,0.15
8,M,35,4,english,literal-some,1,Albert,Nancy,bananas,10,10,10,some,0.95,1,1,0.475,0.575,0.1,0.9,0.1
8,M,35,4,english,true-some,2,Nathan,Victoria,bananas,100,3,36,some,0,0.125,0,0,0.65,0.75,0.175,0
8,M,35,4,english,true-all,3,Fiona,Zack,M&M's,100,10,100,all,1,1,1,0.55,0.575,0,1,0
8,M,35,4,english,hyperbolic,4,Patrick,Barbara,cookies,100,8,81,all,1,1,1,0.725,0,0.15,0.85,0
8,M,35,4,english,hyperbolic,5,Jane,Ann,bananas,10,3,3,all,0.55,0.6,0.575,0.325,0.55,0,0.325,0.075
8,M,35,4,english,hyperbolic,6,Rebecca,Lena,bananas,100,3,39,all,0.55,0.65,0.55,0.425,0.4,0,0.6,0
8,M,35,4,english,literal-some,7,Oliver,Henry,strawberries,100,10,100,some,0.025,0.425,0.125,0.2,0.6,0.325,0.575,0.325
8,M,35,4,english,true-some,8,Mary,Ivan,pies,10,8,8,some,0.425,0.05,0.1,0.2,0.4,0.45,0.6,0.9
8,M,35,4,english,true-some,9,Bob,Victor,bananas,10,3,3,some,0,0,0,0,0.05,0.4,0,1
8,M,35,4,english,true-all,10,Tom,Olga,pies,10,10,10,all,0.775,1,0.975,0.625,0.425,0.15,1,0
8,M,35,4,english,hyperbolic,11,David,Heather,cookies,10,8,8,all,0.85,1,0.825,0.7,0.8,0,0.725,0
8,M,35,4,english,true-some,12,Winston,Yvonne,pies,100,8,84,some,0,0.125,0.3,0,0.6,0.425,0.175,0.45
9,F,45,10,English,hyperbolic,1,Mary,Stephanie,strawberries,10,8,8,all,0.625,0.8,0.7,0.525,0.175,0.225,0.55,0.175
9,F,45,10,English,hyperbolic,2,Calvin,David,pies,100,8,85,all,0.775,0.75,0.75,0.725,0.1,0.175,0.65,0.2
9,F,45,10,English,true-all,3,Steven,Tracy,M&M's,100,10,100,all,0.875,0.825,0.85,0.9,0.05,0.125,0.85,0.15
9,F,45,10,English,hyperbolic,4,Winston,Grace,bananas,10,3,3,all,0.375,0.425,0.35,0.3,0.4,0.35,0.525,0.4
9,F,45,10,English,literal-some,5,Oliver,Larry,blueberries,100,10,100,some,0.85,0.85,0.85,0.75,0.175,0.15,0.8,0.1
9,F,45,10,English,true-some,6,Frank,Rebecca,blueberries,10,3,3,some,0.325,0.25,0.225,0.2,0.3,0.325,0.375,0.325
9,F,45,10,English,true-some,7,Emma,Wendy,bananas,10,8,8,some,0.65,0.775,0.6,0.6,0.3,0.15,0.625,0.225
9,F,45,10,English,true-some,8,Edward,Jane,M&M's,100,8,88,some,0.7,0.75,0.675,0.675,0.25,0.225,0.7,0.225
9,F,45,10,English,literal-some,9,Victor,Tom,cookies,10,10,10,some,0.8,0.775,0.85,0.775,0.225,0.225,0.775,0.2
9,F,45,10,English,hyperbolic,10,Albert,Ivan,strawberries,100,3,30,all,0.35,0.4,0.275,0.375,0.275,0.35,0.375,0.35
9,F,45,10,English,true-some,11,Ann,Kathy,blueberries,100,3,30,some,0.25,0.275,0.325,0.35,0.275,0.3,0.25,0.225
9,F,45,10,English,true-all,12,Henry,Jake,pies,10,10,10,all,0.775,0.775,0.775,0.8,0.225,0.2,0.65,0.225
10,F,45,0,English,hyperbolic,1,Nathan,Fiona,pies,100,8,81,all,0.6,0.6,0.625,0.65,0.575,0.425,0.875,0.6
10,F,45,0,English,true-some,2,Henry,Iris,strawberries,10,8,8,some,0.275,0.25,0.5,0.25,0.25,0.5,0.275,0.55
10,F,45,0,English,literal-some,3,Diana,Calvin,M&M's,100,10,100,some,0.375,0.425,0.375,0.35,0.425,0.5,0.5,0.5
10,F,45,0,English,true-all,4,Emma,Jane,strawberries,100,10,100,all,0.55,0.5,0.55,0.55,0.825,0.5,0.85,0.275
10,F,45,0,English,hyperbolic,5,Lena,Wendy,strawberries,100,3,38,all,0.875,0.85,0.85,0.85,0.8,0.2,0.85,0.1
10,F,45,0,English,true-all,6,Steven,Matt,M&M's,10,10,10,all,0.75,0.7,0.75,0.75,0.5,0.3,0.725,0.325
10,F,45,0,English,true-some,7,Albert,Stephanie,blueberries,100,3,37,some,0.275,0.35,0.175,0.275,0.225,0.5,0.275,0.7
10,F,45,0,English,hyperbolic,8,Nancy,Victoria,pies,10,8,8,all,0.9,0.875,0.675,0.85,0.45,0.225,0.9,0.175
10,F,45,0,English,literal-some,9,Zack,Cathy,pies,10,10,10,some,0.425,0.5,0.45,0.375,0.5,0.5,0.6,0.5
10,F,45,0,English,true-some,10,Tom,Tracy,strawberries,10,3,3,some,0.225,0.275,0.2,0.2,0.75,0.725,0.55,0.35
10,F,45,0,English,hyperbolic,11,Larry,Bob,M&M's,10,3,3,all,0.875,0.825,0.85,0.85,0.5,0.275,0.625,0.225
10,F,45,0,English,true-some,12,Victor,Heather,blueberries,100,8,80,some,0.35,0.35,0.375,0.35,0.5,0.5,0.5,0.45
11,F,25,4,English,true-all,1,Victor,Kevin,cookies,100,10,100,all,0.85,1,0.775,1,0.15,0.1,0.65,0.2
11,F,25,4,English,true-some,2,Diana,Wendy,cookies,100,3,31,some,0.35,0.6,0.525,0.575,0.225,0.25,0.55,0.3
11,F,25,4,English,true-some,3,Fiona,Edward,cookies,100,8,81,some,0.65,0.75,0.7,0.8,0.075,0.1,0.625,0.125
11,F,25,4,English,hyperbolic,4,Emma,Iris,cookies,10,3,3,all,0.6,0.625,0.6,0.55,0,0.125,0.525,0.425
11,F,25,4,English,true-some,5,Olga,Oliver,bananas,10,3,3,some,0.475,0.55,0.35,0.4,0.425,0.225,0.35,0.575
11,F,25,4,English,true-all,6,Nancy,Barbara,blueberries,10,10,10,all,0.6,0.875,0.65,0.8,0,0,0.575,0
11,F,25,4,English,hyperbolic,7,Bob,Heather,strawberries,10,8,8,all,0.625,0.7,0.575,0.675,0,0,0.525,0.225
11,F,25,4,English,hyperbolic,8,Winston,Frank,blueberries,100,3,35,all,0.7,0.775,0.625,0.625,0,0,0.525,0.025
11,F,25,4,English,hyperbolic,9,Grace,Ivan,strawberries,100,8,85,all,0.7,0.8,0.65,0.7,0.125,0,0.575,0.025
11,F,25,4,English,literal-some,10,Calvin,Stephanie,bananas,100,10,100,some,0.45,0.625,0.6,0.55,0,0,0.55,0.375
11,F,25,4,English,true-some,11,Victoria,Jane,cookies,10,8,8,some,0.55,0.65,0.575,0.6,0,0,0.525,0.25
11,F,25,4,English,literal-some,12,Patty,Matt,strawberries,10,10,10,some,0.55,0.575,0.55,0.575,0,0,0.525,0.25
12,M,55,0,English,true-some,1,Tom,Diana,strawberries,10,8,8,some,0.375,0.325,0.35,0.3,0.6,0.625,0.6,0.5
12,M,55,0,English,true-all,2,Jake,Kathy,pies,100,10,100,all,0.5,0.5,0.5,0.725,0.575,0.5,0.875,0.5
12,M,55,0,English,hyperbolic,3,Winston,Grace,M&M's,100,3,37,all,0.5,0.5,0.325,0.5,0.65,0.5,0.65,0.5
12,M,55,0,English,hyperbolic,4,Larry,Fiona,bananas,100,8,87,all,0.5,0.5,0.5,0.675,0.675,0.5,0.875,0.5
12,M,55,0,English,true-all,5,Rebecca,Stephanie,blueberries,10,10,10,all,0.5,0.5,0.5,0.15,0.55,0.75,0.5,0.5
12,M,55,0,English,hyperbolic,6,Albert,Heather,cookies,10,8,8,all,0.425,0.4,0.5,0.5,0.625,0.5,0.625,0.5
12,M,55,0,English,true-some,7,Zack,Jane,cookies,100,3,30,some,0.5,0.5,0.5,0.6,0.575,0.5,0.8,0.5
12,M,55,0,English,true-some,8,Matt,Barbara,blueberries,100,8,84,some,0.5,0.5,0.5,0.5,0.675,0.5,0.575,0.5
12,M,55,0,English,literal-some,9,David,Cathy,strawberries,100,10,100,some,0.5,0.5,0.5,0.525,0.575,0.525,0.675,0.5
12,M,55,0,English,true-some,10,Olga,Robert,M&M's,10,3,3,some,0.375,0.35,0.425,0.375,0.5,0.5,0.425,0.5
12,M,55,0,English,literal-some,11,Yvonne,Ann,cookies,10,10,10,some,0.5,0.5,0.5,0.55,0.55,0.5,0.65,0.5
12,M,55,0,English,hyperbolic,12,Bob,Steven,blueberries,10,3,3,all,0.5,0.5,0.375,0.425,0.575,0.5,0.5,0.5
13,F,25,4,English,hyperbolic,1,Patrick,Lena,blueberries,100,3,33,all,0.675,0.8,0.75,0.45,0.225,0.225,0.575,0.1
13,F,25,4,English,literal-some,2,Robert,Frank,cookies,100,10,100,some,0.25,0.25,0.325,0.1,0.625,0.675,0.8,0.55
13,F,25,4,English,hyperbolic,3,Olga,Patty,cookies,10,8,8,all,0.775,0.825,0.725,0.35,0.25,0.1,0.6,0.15
13,F,25,4,English,true-some,4,Tracy,Yvonne,blueberries,10,8,8,some,0.425,0.6,0.3,0.2,0.6,0.575,0.675,0.35
13,F,25,4,English,true-all,5,Jake,George,bananas,10,10,10,all,0.55,0.6,0.3,0.125,0.475,0.3,0.95,0.15
13,F,25,4,English,true-some,6,Stephanie,Ann,blueberries,10,3,3,some,0.2,0.2,0.075,0.125,0.575,0.55,0.675,0.35
13,F,25,4,English,true-all,7,Winston,Matt,cookies,100,10,100,all,0.675,0.675,0.65,0.075,0.375,0.275,0.95,0.175
13,F,25,4,English,hyperbolic,8,Nathan,David,M&M's,10,3,3,all,0.8,0.8,0.65,0.325,0.275,0.225,0.5,0.225
13,F,25,4,English,true-some,9,Mary,Victor,bananas,100,3,30,some,0.35,0.4,0.3,0.075,0.5,0.525,0.675,0.275
13,F,25,4,English,literal-some,10,Grace,Albert,M&M's,10,10,10,some,0.3,0.7,0.375,0.25,0.575,0.55,0.75,0.225
13,F,25,4,English,hyperbolic,11,Nancy,Oliver,cookies,100,8,89,all,0.775,0.75,0.625,0.275,0.225,0.325,0.475,0.175
13,F,25,4,English,true-some,12,Ivan,Rebecca,strawberries,100,8,85,some,0.35,0.3,0.275,0.125,0.4,0.55,0.475,0.3
14,F,45,10,english,true-all,1,Zack,Robert,blueberries,100,10,100,all,0.925,0.925,0.925,0.875,0.075,0.025,0.575,0.35
14,F,45,10,english,true-some,2,Victoria,Henry,blueberries,100,3,32,some,0.65,0.65,0.6,0.675,0.2,0.05,0.75,0.375
14,F,45,10,english,literal-some,3,Jane,Nathan,pies,100,10,100,some,0.925,0.9,0.975,0.925,0.075,0.1,0.175,0.35
14,F,45,10,english,hyperbolic,4,Wendy,Mary,strawberries,10,8,8,all,0.025,0.425,0.025,0.3,0.575,0.425,0.575,0.35
14,F,45,10,english,literal-some,5,Bob,Frank,cookies,10,10,10,some,0.325,0.65,0.35,0.275,0.425,0.35,0.625,0.6
14,F,45,10,english,hyperbolic,6,Patrick,Olga,cookies,100,8,89,all,0.85,0.825,0.825,0.85,0.05,0.025,0.9,0.425
14,F,45,10,english,true-some,7,Emma,Lena,pies,10,8,8,some,0.075,0.4,0.125,0.3,0.325,0.075,0.6,0.275
14,F,45,10,english,true-some,8,Oliver,Iris,pies,10,3,3,some,0.825,0.825,0.625,0.9,0.325,0.075,0.675,0.275
14,F,45,10,english,true-some,9,Rebecca,Patty,cookies,100,8,87,some,0.95,0.9,0.9,0.975,0.075,0.1,0.65,0.4
14,F,45,10,english,hyperbolic,10,Larry,Albert,M&M's,10,3,3,all,0.35,0.2,0.325,0.225,0.275,0.375,0.4,0.3
14,F,45,10,english,true-all,11,Grace,Barbara,blueberries,10,10,10,all,0.75,0.875,0.875,0.725,0.125,0.325,0.875,0.425
14,F,45,10,english,hyperbolic,12,Calvin,Jake,pies,100,3,33,all,0.9,0.8,0.85,0.875,0.35,0.25,0.825,0.45
15,M,45,4,english,true-all,1,Emma,Albert,M&M's,10,10,10,all,0.85,1,0.975,0.325,0.025,0,0.5,0.05
15,M,45,4,english,hyperbolic,2,Iris,Frank,cookies,100,8,85,all,0.825,0.975,0.925,0.625,0,0.025,0.7,0.025
15,M,45,4,english,literal-some,3,Matt,Stephanie,cookies,100,10,100,some,0.75,0.975,0.975,0.975,0,0,0.9,0
15,M,45,4,english,true-some,4,Edward,Robert,pies,100,8,85,some,0.675,0.575,0.925,0.675,0.025,0.05,0.95,0.025
15,M,45,4,english,hyperbolic,5,Lena,Barbara,M&M's,100,3,39,all,0.625,0.95,0.775,0.625,0.025,0.05,0.05,0.025
15,M,45,4,english,true-some,6,Jake,Patrick,pies,10,8,8,some,0.25,0.5,0.175,0.125,0.05,0.075,0.2,0.05
15,M,45,4,english,true-some,7,Bob,Yvonne,strawberries,100,3,34,some,0.175,0.15,0.175,0.125,0.6,0.5,0.275,0.175
15,M,45,4,english,literal-some,8,Ann,Heather,M&M's,10,10,10,some,0.6,0.5,0.5,0.2,0.1,0.075,0.05,0.05
15,M,45,4,english,hyperbolic,9,Henry,Steven,bananas,10,8,8,all,0.95,1,0.925,0.875,0.025,0.025,0.65,0.025
15,M,45,4,english,true-some,10,Kevin,Rebecca,strawberries,10,3,3,some,0.025,0.05,0.05,0.025,0.5,0.575,0.425,0.5
15,M,45,4,english,hyperbolic,11,Kathy,Calvin,cookies,10,3,3,all,0.675,0.975,0.975,0.5,0,0.025,0.625,0
15,M,45,4,english,true-all,12,Tracy,Grace,pies,100,10,100,all,0.975,0.975,0.975,0.975,0.025,0.025,1,0.025
16,M,35,8,English,hyperbolic,1,Kathy,Ivan,bananas,100,8,80,all,0.6,0.8,0.8,0.875,0.025,0.1,0.95,0.325
16,M,35,8,English,true-some,2,Rebecca,Tom,cookies,100,8,83,some,0.65,0.65,0.75,0.775,0.3,0.1,0.675,0.125
16,M,35,8,English,literal-some,3,Calvin,Victoria,blueberries,10,10,10,some,0.05,0.05,0.025,0.075,0.15,0.8,0.1,0.55
16,M,35,8,English,hyperbolic,4,Kevin,Larry,M&M's,10,8,8,all,0.65,0.825,0.625,0.275,0.075,0.05,0.4,0.225
16,M,35,8,English,literal-some,5,Fiona,Frank,cookies,100,10,100,some,0.65,0.8,0.9,0.875,0.225,0.125,0.925,0.25
16,M,35,8,English,hyperbolic,6,Olga,Diana,bananas,10,3,3,all,0.6,0.725,0.575,0.25,0.35,0.15,0.175,0.325
16,M,35,8,English,true-some,7,Patrick,Bob,bananas,10,8,8,some,0.15,0.25,0.15,0.075,0.35,0.45,0.175,0.725
16,M,35,8,English,hyperbolic,8,Heather,Patty,strawberries,100,3,35,all,0.6,0.625,0.625,0.575,0.2,0.075,0.35,0.325
16,M,35,8,English,true-some,9,Oliver,David,M&M's,10,3,3,some,0.05,0.025,0.025,0.025,0.8,0.9,0.1,0.625
16,M,35,8,English,true-all,10,Victor,Stephanie,strawberries,10,10,10,all,0.875,0.9,0.775,0.4,0.075,0.05,0.575,0.15
16,M,35,8,English,true-some,11,Mary,Cathy,M&M's,100,3,31,some,0.15,0.05,0.175,0.1,0.4,0.575,0.1,0.8
16,M,35,8,English,true-all,12,Henry,Matt,cookies,100,10,100,all,0.75,0.9,0.825,0.75,0.075,0.075,0.85,0.1
17,M,45,10,English,true-some,1,Zack,Victor,M&M's,100,8,84,some,0.675,0.725,0.675,0.525,0.55,0.325,0.875,0.2
17,M,45,10,English,hyperbolic,2,Ivan,Larry,pies,100,3,34,all,0.675,0.75,0.675,0.625,0.7,0.35,0.875,0.275
17,M,45,10,English,true-all,3,Jake,Frank,blueberries,100,10,100,all,0.625,0.775,0.7,0.65,0.55,0.35,0.875,0.175
17,M,45,10,English,hyperbolic,4,Patrick,David,cookies,10,3,3,all,0.8,0.85,0.7,0.75,0.625,0.3,0.45,0.325
17,M,45,10,English,hyperbolic,5,Nancy,Oliver,strawberries,10,8,8,all,0.625,0.8,0.625,0.7,0.575,0.35,0.875,0.2
17,M,45,10,English,true-all,6,Olga,Fiona,bananas,10,10,10,all,0.675,0.825,0.75,0.725,0.575,0.175,0.875,0.3
17,M,45,10,English,literal-some,7,Yvonne,Tom,pies,10,10,10,some,0.55,0.45,0.45,0.425,0.575,0.425,0.625,0.5
17,M,45,10,English,true-some,8,Diana,Wendy,blueberries,100,3,32,some,0.45,0.425,0.35,0.425,0.55,0.575,0.675,0.425
