food,quantifier,eatenQuant,upset,happy,surprised,probability
cookies,all,4,0,0,1,0.017051613475122736
cookies,all,4,0,1,0,0.009170320593083816
cookies,all,4,0,1,1,0.009649260035576479
cookies,all,4,1,0,0,0.016281626607988132
cookies,all,4,1,0,1,0.014058309952930526
cookies,all,4,1,1,0,0.009076052245300137
cookies,all,4,1,1,1,0.008279947378732506
cookies,all,5,0,0,0,0.006185185659127564
cookies,all,5,0,0,1,0.013901327785767918
cookies,all,5,0,1,0,0.004008910235471226
cookies,all,5,0,1,1,0.009978893469464142
cookies,all,5,1,0,0,0.008045150689793258
cookies,all,5,1,0,1,0.01643297026959373
cookies,all,5,1,1,0,0.005688934732277237
cookies,all,5,1,1,1,0.012277448008240911
cookies,all,6,0,0,0,0.004397613418979563
cookies,all,6,0,0,1,0.011722555925062144
cookies,all,6,0,1,0,0.001969898764305877
cookies,all,6,0,1,1,0.0058156958094510765
cookies,all,6,1,0,0,0.005239429566322558
cookies,all,6,1,0,1,0.01269309742574099
cookies,all,6,1,1,0,0.0025605546037362
cookies,all,6,1,1,1,0.006554097753542339
cookies,all,7,0,0,0,0.002372177849081457
cookies,all,7,0,0,1,0.008239617021011881
cookies,all,7,0,1,0,0.0011722632270639419
cookies,all,7,0,1,1,0.004509593878658624
cookies,all,7,1,0,0,0.004014496751280239
cookies,all,7,1,0,1,0.012672702320176848
cookies,all,7,1,1,0,0.0021643733747819666
cookies,all,7,1,1,1,0.007218809337891665
cookies,all,8,0,0,0,0.001606273405123765
cookies,all,8,0,0,1,0.0074186217197418055
cookies,all,8,0,1,0,0.0004411467253014917
cookies,all,8,0,1,1,0.002256520733567143
cookies,all,8,1,0,0,0.004245997824171712
cookies,all,8,1,0,1,0.017822222773943127
cookies,all,8,1,1,0,0.0012722326433343557
cookies,all,8,1,1,1,0.0056421405596233706
cookies,all,9,0,0,0,0.0010017868372537693
cookies,all,9,0,0,1,0.0046372585721075575
cookies,all,9,0,1,0,0.00021283533062897312
cookies,all,9,0,1,1,0.0010911443915834233
cookies,all,9,1,0,0,0.004088306392781501
cookies,all,9,1,0,1,0.017199181138913062
cookies,all,9,1,1,0,0.0009476217360819019
cookies,all,9,1,1,1,0.0042120606327027904
cookies,all,10,0,0,0,0.0019404477593646834
cookies,all,10,0,0,1,0.013237588766996423
cookies,all,10,0,1,0,0.0006543108625121068
cookies,all,10,0,1,1,0.004500772182789822
cookies,all,10,1,0,0,0.004863068994591864
cookies,all,10,1,0,1,0.03281190626039094
cookies,all,10,1,1,0,0.0016508118470389137
cookies,all,10,1,1,1,0.01121462898881017
pies,some,0,0,0,0,0.030917821265839907
pies,some,0,0,0,1,0.0348232685910913
pies,some,0,0,1,0,0.019441225486893383
pies,some,0,0,1,1,0.022576892980455357
pies,some,0,1,0,0,0.010609750710695993
pies,some,0,1,0,1,0.011142225219187292
pies,some,0,1,1,0,0.007076341576431233
pies,some,0,1,1,1,0.007865236671153793
pies,some,1,0,0,0,0.0647787150484511
pies,some,1,0,0,1,0.059414614719123085
pies,some,1,0,1,0,0.13942592643942667
pies,some,1,0,1,1,0.12845405920441194
pies,some,1,1,0,0,0.00895636456194865
pies,some,1,1,0,1,0.008156046545074963
pies,some,1,1,1,0,0.019430959330439503
pies,some,1,1,1,1,0.01779283613109849
pies,some,2,0,0,0,0.028402170487953737
pies,some,2,0,0,1,0.01707674863454049
pies,some,2,0,1,0,0.0313916842000142
pies,some,2,0,1,1,0.018958833394921534
pies,some,2,1,0,0,0.009681864665443452
pies,some,2,1,0,1,0.005779624720780707
pies,some,2,1,1,0,0.010786321590642882
pies,some,2,1,1,1,0.006474660489091783
pies,some,3,0,0,0,0.012131472402475488
pies,some,3,0,0,1,0.010920159537387857
pies,some,3,0,1,0,0.013219757251482476
pies,some,3,0,1,1,0.011953147722221063
pies,some,3,1,0,0,0.007174187401727313
pies,some,3,1,0,1,0.006411729060042188
pies,some,3,1,1,0,0.007880140355839352
pies,some,3,1,1,1,0.0070817306017704985
pies,some,4,0,0,0,0.006726821192455175
pies,some,4,0,0,1,0.0094889908208958
pies,some,4,0,1,0,0.005469120061933611
pies,some,4,0,1,1,0.007749451023193024
pies,some,4,1,0,0,0.004805291753178158
pies,some,4,1,0,1,0.006730028142551958
pies,some,4,1,1,0,0.003938026231954853
pies,some,4,1,1,1,0.0055459854720110195
pies,some,5,0,0,0,0.0013220511936245455
pies,some,5,0,0,1,0.0056638077527201534
pies,some,5,0,1,0,0.000395461675307727
pies,some,5,0,1,1,0.0017017978494658118
pies,some,5,1,0,0,0.003338057243092555
pies,some,5,1,0,1,0.014198451669943478
pies,some,5,1,1,0,0.0010064707993554095
pies,some,5,1,1,1,0.004304784252602969
pies,some,6,0,0,0,0.002189568170194853
pies,some,6,0,0,1,0.006765612980780969
pies,some,6,0,1,0,0.001160589995219436
pies,some,6,0,1,1,0.0036022250320163337
pies,some,6,1,0,0,0.0035236562247960164
pies,some,6,1,0,1,0.010810086955312673
pies,some,6,1,1,0,0.0018826307698221064
pies,some,6,1,1,1,0.005807695156402814
pies,some,7,0,0,0,0.002199324791000956
pies,some,7,0,0,1,0.00531842107210642
pies,some,7,0,1,0,0.0007270713151641472
pies,some,7,0,1,1,0.001766093521473638
pies,some,7,1,0,0,0.0038798440145731737
pies,some,7,1,0,1,0.009315251630789065
pies,some,7,1,1,0,0.0012928649951043443
pies,some,7,1,1,1,0.0031213071397927744
pies,some,8,0,0,0,0.001309949861391051
pies,some,8,0,0,1,0.005867159101388224
pies,some,8,0,1,0,0.0005307889617393825
pies,some,8,0,1,1,0.00238802248878269
pies,some,8,1,0,0,0.0025118211957917904
pies,some,8,1,0,1,0.011169889823624018
pies,some,8,1,1,0,0.0010259051274112265
pies,some,8,1,1,1,0.0045874397399868995
pies,some,9,0,0,0,0.0005210922232908187
pies,some,9,0,0,1,0.0024410513027987896
pies,some,9,0,1,0,0.00016280833002641886
pies,some,9,0,1,1,0.0007660943763930353
pies,some,9,1,0,0,0.002470071280764815
pies,some,9,1,0,1,0.011488379617870588
pies,some,9,1,1,0,0.0007778982348983461
pies,some,9,1,1,1,0.0036381037604479773
pies,some,10,0,0,0,0.0002922373227784123
pies,some,10,0,0,1,0.0009928236107293713
pies,some,10,0,1,0,0.0000815312703459739
pies,some,10,0,1,1,0.0002849234440703508
pies,some,10,1,0,0,0.0008695146669247572
pies,some,10,1,0,1,0.0027735559461619192
pies,some,10,1,1,0,0.00025607739294896276
pies,some,10,1,1,1,0.0008595030225416686
pies,all,0,0,0,0,0.05300924532201476
pies,all,0,0,0,1,0.08829952052780304
pies,all,0,0,1,0,0.018998507855902146
pies,all,0,0,1,1,0.0345398096254485
pies,all,0,1,0,0,0.03521896644204592
pies,all,0,1,0,1,0.05522843279695208
pies,all,0,1,1,0,0.014345459175200487
pies,all,0,1,1,1,0.023449102672041675
pies,all,1,0,0,0,0.04220597178514365
pies,all,1,0,0,1,0.05133247190275051
pies,all,1,0,1,0,0.057756169323966426
pies,all,1,0,1,1,0.07666733682452136
pies,all,1,1,0,0,0.009220232126132977
pies,all,1,1,0,1,0.01055697559328723
pies,all,1,1,1,0,0.014339575906678144
pies,all,1,1,1,1,0.01711431934334683
pies,all,2,0,0,0,0.018505171109905766
pies,all,2,0,0,1,0.014753806342376974
pies,all,2,0,1,0,0.013003775368910196
pies,all,2,0,1,1,0.01131551057779659
pies,all,2,1,0,0,0.009967106520926501
pies,all,2,1,0,1,0.007480996678775164
pies,all,2,1,1,0,0.007960043277974704
pies,all,2,1,1,1,0.006227754048518057
pies,all,3,0,0,0,0.00790414847760047
pies,all,3,0,0,1,0.009434695239151228
pies,all,3,0,1,0,0.0054761876627735075
pies,all,3,0,1,1,0.0071341926304910935
pies,all,3,1,0,0,0.007385549427201165
pies,all,3,1,0,1,0.008299176178501533
pies,all,3,1,1,0,0.005815352132965441
pies,all,3,1,1,1,0.006811673986611908
pies,all,4,0,0,0,0.004382798041611633
pies,all,4,0,0,1,0.008198207747399834
pies,all,4,0,1,0,0.0022655429475476408
pies,all,4,0,1,1,0.004625231584584015
pies,all,4,1,0,0,0.004946862657459246
pies,all,4,1,0,1,0.008711174274251788
pies,all,4,1,1,0,0.0029061676840187716
pies,all,4,1,1,1,0.0053344933737496745
pies,all,5,0,0,0,0.0008613702098737024
pies,all,5,0,0,1,0.004893362579283233
pies,all,5,0,1,0,0.00016381710391671987
pies,all,5,0,1,1,0.0010157118407960774
pies,all,5,1,0,0,0.003436401278526844
pies,all,5,1,0,1,0.01837810842712448
pies,all,5,1,1,0,0.0007427509975075165
pies,all,5,1,1,1,0.004140624454720327
pies,all,6,0,0,0,0.0014265928606915486
pies,all,6,0,0,1,0.005845289747019822
pies,all,6,0,1,0,0.000480765909120329
pies,all,6,0,1,1,0.002149974874735862
pies,all,6,1,0,0,0.0036274682769549984
pies,all,6,1,0,1,0.013992296821486524
pies,all,6,1,1,0,0.0013893357692237713
pies,all,6,1,1,1,0.005586222950806774
pies,all,7,0,0,0,0.0014329496966082964
pies,all,7,0,0,1,0.004594958690576666
pies,all,7,0,1,0,0.00030118396959308085
pies,all,7,0,1,1,0.001054086478177826
pies,all,7,1,0,0,0.003994149878571839
pies,all,7,1,0,1,0.012057420659394405
pies,all,7,1,1,0,0.0009541029559638565
pies,all,7,1,1,1,0.003002278375717503
pies,all,8,0,0,0,0.0008534856989440316
pies,all,8,0,0,1,0.005069052137167892
pies,all,8,0,1,0,0.0002198754416226217
pies,all,8,0,1,1,0.0014252825144333472
pies,all,8,1,0,0,0.0025858231120844816
pies,all,8,1,0,1,0.014458016343581613
pies,all,8,1,1,0,0.0007570930594516785
pies,all,8,1,1,1,0.00441250108189743
pies,all,9,0,0,0,0.0003395128115341635
pies,all,9,0,0,1,0.0021089962125726103
pies,all,9,0,1,0,0.00006744215883294306
pies,all,9,0,1,1,0.0004572406349637502
pies,all,9,1,0,0,0.0025428431836623517
pies,all,9,1,0,1,0.014870261291668926
pies,all,9,1,1,0,0.0005740699981560542
pies,all,9,1,1,1,0.0034993673353576637
pies,all,10,0,0,0,0.0016880719154839263
pies,all,10,0,0,1,0.007228020358422889
pies,all,10,0,1,0,0.0003593299177710278
pies,all,10,0,1,1,0.0015486093250181357
pies,all,10,1,0,0,0.007561089881329288
pies,all,10,1,0,1,0.0321472903112659
pies,all,10,1,1,0,0.0016265253316620487
pies,all,10,1,1,1,0.006951259942384267
