"","food","totalQuant","eatenQuant","variable","N","value","sd","se","ci"
"99","pies","10","2","Comp.3",23,0.41459800574041,0.262315330465542,0.0546965274302104,0.113433655145387
"100","pies","10","2","Comp.4",23,0.448590746092961,0.230409957765111,0.0480437973363076,0.0996367373756074
"101","pies","10","3","Comp.1",20,0.44846103359467,0.218505360732781,0.0488592840046612,0.102263656702923
"102","pies","10","3","Comp.2",20,0.565034749635972,0.23764439928836,0.0531389031280875,0.11122100247196
"103","pies","10","3","Comp.3",20,0.470731736295645,0.272048814111597,0.0608319641551734,0.127322764253682
"104","pies","10","3","Comp.4",20,0.397043798271261,0.250753047182926,0.0560700859066236,0.117356038535303
"105","pies","10","4","Comp.1",19,0.560859545494682,0.244085285471725,0.0559970048935012,0.117645341768242
"106","pies","10","4","Comp.2",19,0.585820411541187,0.201014541024498,0.0461158984477893,0.096885907454478
"107","pies","10","4","Comp.3",19,0.533805473223334,0.233960919153864,0.0536743159647149,0.112765553405131
"108","pies","10","4","Comp.4",19,0.513477025535497,0.195783730628708,0.0449158682421014,0.0943647375463934
"109","pies","10","5","Comp.1",19,0.807721362271145,0.124063017977778,0.0284620083155687,0.059796460579702
"110","pies","10","5","Comp.2",19,0.485002069201912,0.17700397154157,0.0406074960292133,0.0853131834067748
"111","pies","10","5","Comp.3",19,0.513754585608784,0.205312941751171,0.0471020192049687,0.0989576702875755
"112","pies","10","5","Comp.4",19,0.526280170619512,0.231702303323379,0.0531561539564325,0.111676935421515
"113","pies","10","6","Comp.1",23,0.726845020581464,0.216600430580782,0.0451643118670618,0.0936650500115176
"114","pies","10","6","Comp.2",23,0.566084110955809,0.246678122495174,0.0514359441727806,0.106671619342145
"115","pies","10","6","Comp.3",23,0.487070226085251,0.270584083219107,0.0564206815656029,0.117009331971693
"116","pies","10","6","Comp.4",23,0.49285258760178,0.275528103077704,0.0574515809695048,0.119147286481164
"117","pies","10","7","Comp.1",18,0.754449004355338,0.202885373227001,0.0478205410707919,0.100892522491575
"118","pies","10","7","Comp.2",18,0.468327340105314,0.259124764324679,0.0610762926757822,0.128859713723672
"119","pies","10","7","Comp.3",18,0.415661431235412,0.227583912483871,0.0536420426021037,0.113174817108717
"120","pies","10","7","Comp.4",18,0.582099818416253,0.259261787900846,0.0611085894424123,0.128927853945022
"121","pies","10","8","Comp.1",25,0.742782778763739,0.18683687745172,0.0373673754903439,0.0771224725263352
"122","pies","10","8","Comp.2",25,0.589568078789286,0.263873881471388,0.0527747762942777,0.108921784884
"123","pies","10","8","Comp.3",25,0.461002725369383,0.277496173510797,0.0554992347021593,0.114544790673243
"124","pies","10","8","Comp.4",25,0.460379610206326,0.293399431605423,0.0586798863210846,0.121109332974582
"125","pies","10","9","Comp.1",22,0.787323373657174,0.183736438118306,0.0391727402274512,0.0814641729129284
"126","pies","10","9","Comp.2",22,0.551176680843831,0.322802219306252,0.0688216643972737,0.143122486097773
"127","pies","10","9","Comp.3",22,0.453517855848571,0.248987010173465,0.0530842089322245,0.110394655831871
"128","pies","10","9","Comp.4",22,0.41986163391163,0.27125992003662,0.057832809270373,0.120269910838163
"129","pies","10","10","Comp.1",19,0.802699768631759,0.245620708989385,0.0563492552066074,0.118385392214729
"130","pies","10","10","Comp.2",19,0.434904271716055,0.275770215934719,0.0632660264683068,0.132916989405739
"131","pies","10","10","Comp.3",19,0.433687448582781,0.196281787559161,0.0450301303383106,0.0946047933026834
"132","pies","10","10","Comp.4",19,0.421293181332683,0.209771688371311,0.0481249258329711,0.101106717367454
