workerID,gender,age,income,language,order,personA,personB,food,totalQuant,eatenQuant,upset,happy,surprised,neutral
13,M,35,6,english,3,David,Wendy,cookies,10,2,0.575,0.675,0.6,0.325
13,M,35,6,english,4,Nathan,Jake,M&M's,10,4,0.35,0.775,0.5,0.3
13,M,35,6,english,5,Zack,Edward,M&M's,10,8,0.6,0.275,0.8,0.325
13,M,35,6,english,6,Ivan,Stephanie,M&M's,10,9,0.575,0.6,0.275,0.4
13,M,35,6,english,7,Cathy,Fiona,M&M's,10,3,0.5,0.475,0.325,0.5
13,M,35,6,english,8,Kathy,Steven,pies,10,10,0.625,0.4,0.6,0.675
13,M,35,6,english,9,Calvin,Ann,cookies,10,3,0.7,0.4,0.65,0.5
13,M,35,6,english,10,Mary,Yvonne,pies,10,8,0.575,0.675,0.75,0.125
13,M,35,6,english,11,Albert,Robert,pies,10,3,0.5,0.6,0.275,0.375
14,M,35,6,english,1,Kathy,Patty,M&M's,10,9,0.725,0.025,0.775,0.225
14,M,35,6,english,2,Nancy,Cathy,pies,10,0,0.15,0.5,0.675,0.5
14,M,35,6,english,3,Fiona,Kevin,cookies,10,7,0.7,0.325,0.625,0.25
14,M,35,6,english,4,Nathan,Jane,M&M's,10,2,0.025,0.5,0.125,0.8
14,M,35,6,english,5,Mary,Olga,M&M's,10,1,0,0.5,0.025,0.825
14,M,35,6,english,6,Wendy,Steven,M&M's,10,3,0.075,0.5,0.2,0.725
14,M,35,6,english,7,Ann,Calvin,M&M's,10,6,0.575,0.25,0.6,0.325
14,M,35,6,english,8,Frank,Heather,cookies,10,10,1,0.025,1,0
14,M,35,6,english,9,Robert,Winston,pies,10,7,0.775,0.1,0.9,0.025
14,M,35,6,english,10,Ivan,David,M&M's,10,4,0.575,0.4,0.525,0.375
14,M,35,6,english,11,Patrick,Victor,cookies,10,1,0,0.5,0,1
15,F,25,0,English,1,Bob,Stephanie,M&M's,10,6,0.85,0.225,0.675,0.275
15,F,25,0,English,2,Tom,Jake,M&M's,10,4,0.625,0.275,0.7,0.5
15,F,25,0,English,3,Kevin,Lena,pies,10,8,0.9,0.05,0.825,0.25
15,F,25,0,English,4,Nathan,Grace,M&M's,10,7,0.85,0.125,0.65,0.25
15,F,25,0,English,5,Ivan,Ann,cookies,10,4,0.5,0.25,0.75,0.5
15,F,25,0,English,6,George,Henry,cookies,10,7,0.925,0.175,0.775,0.2
15,F,25,0,English,7,Patty,Victor,pies,10,2,0.1,0.525,0.1,0.5
15,F,25,0,English,8,Diana,Cathy,pies,10,3,0.4,0.5,0.5,0.5
15,F,25,0,English,9,Jane,Matt,cookies,10,8,0.825,0.25,0.775,0.275
15,F,25,0,English,10,Robert,Steven,M&M's,10,10,0.975,0.025,0.975,0.05
15,F,25,0,English,11,Patrick,Nancy,pies,10,10,0.975,0,0.95,0
16,M,35,4,English,1,Diana,Grace,M&M's,10,8,0.425,0.525,0.65,0.5
16,M,35,4,English,2,Edward,Heather,M&M's,10,4,0.4,0.575,0.3,0.5
16,M,35,4,English,3,Jane,Victoria,cookies,10,9,0.425,0.4,0.65,0.5
16,M,35,4,English,4,Ivan,Olga,pies,10,1,0.2,0.65,0.25,0.5
16,M,35,4,English,5,Yvonne,Victor,M&M's,10,10,0.6,0.3,0.675,0.375
16,M,35,4,English,6,Calvin,Tracy,pies,10,10,0.625,0.3,0.725,0.225
16,M,35,4,English,7,David,Iris,cookies,10,8,0.575,0.4,0.625,0.475
16,M,35,4,English,8,Rebecca,Henry,pies,10,8,0.55,0.475,0.625,0.425
16,M,35,4,English,9,Cathy,Lena,M&M's,10,5,0.45,0.425,0.55,0.5
16,M,35,4,English,10,Matt,Stephanie,cookies,10,4,0.375,0.575,0.5,0.5
16,M,35,4,English,11,Kevin,Winston,M&M's,10,6,0.5,0.55,0.6,0.475
17,M,35,0,english,1,Henry,Victoria,cookies,10,4,0.025,0.55,0.35,0.5
17,M,35,0,english,2,Bob,Patty,cookies,10,3,0.025,0.6,0.25,0.5
17,M,35,0,english,3,Larry,Calvin,pies,10,0,0.025,0.5,0.5,0.5
17,M,35,0,english,4,Matt,Mary,cookies,10,9,0.15,0.5,0.225,0.5
17,M,35,0,english,5,Nancy,Kathy,cookies,10,6,0.025,0.6,0.225,0.5
17,M,35,0,english,6,Emma,Winston,pies,10,9,0.5,0.5,0.775,0.5
17,M,35,0,english,7,Steven,Robert,cookies,10,10,0.125,0.5,0.75,0.5
17,M,35,0,english,8,David,Yvonne,pies,10,1,0.1,0.6,0.725,0.5
17,M,35,0,english,9,Nathan,Lena,cookies,10,7,0.1,0.575,0.7,0.5
17,M,35,0,english,10,Albert,Tom,M&M's,10,9,0.15,0.625,0.5,0.5
17,M,35,0,english,11,Victor,Diana,pies,10,8,0.125,0.5,0.75,0.225
18,M,35,6,English,1,Wendy,Heather,M&M's,10,6,0.375,0.5,0.5,1
18,M,35,6,English,2,Zack,Olga,pies,10,2,0.5,0.5,0.675,0.875
18,M,35,6,English,3,Nathan,Albert,cookies,10,0,0.8,0.3,1,0.55
18,M,35,6,English,4,Steven,Matt,cookies,10,6,0.5,0.25,0.9,0.7
18,M,35,6,English,5,Mary,Patrick,cookies,10,4,0.225,0.7,0.025,1
18,M,35,6,English,6,Emma,Diana,pies,10,3,0.275,0.625,0.825,0.525
18,M,35,6,English,7,George,Larry,M&M's,10,9,0.375,0.25,0.925,0.225
18,M,35,6,English,8,Victoria,Robert,M&M's,10,10,0.225,0.6,1,0.75
18,M,35,6,English,9,Ann,Fiona,cookies,10,5,0.225,0.675,0.6,1
18,M,35,6,English,10,Kathy,Tom,cookies,10,8,0.225,0.65,0.8,1
18,M,35,6,English,11,Patty,Barbara,pies,10,0,0.775,0.025,1,0.875
19,F,35,4,english,1,Stephanie,Robert,pies,10,1,0,0.625,0.675,0.5
19,F,35,4,english,2,Larry,Matt,cookies,10,2,0.15,0.6,0.1,0.5
19,F,35,4,english,3,Winston,Albert,M&M's,10,1,0,0.5,0,0.7
19,F,35,4,english,4,Patrick,Victoria,M&M's,10,3,0,0.5,0.2,0.7
19,F,35,4,english,5,David,Heather,pies,10,9,0.75,0.325,0.9,0.275
19,F,35,4,english,6,Jane,Patty,M&M's,10,5,0,0.5,0,0.65
19,F,35,4,english,7,Kathy,Tracy,cookies,10,10,0.5,0.5,0.625,0.55
19,F,35,4,english,8,Zack,Edward,M&M's,10,2,0,0.5,0,0.75
19,F,35,4,english,9,Bob,Diana,cookies,10,7,0.375,0.5,0.5,0.5
19,F,35,4,english,10,Emma,Frank,M&M's,10,6,0.025,0.5,0.1,0.625
19,F,35,4,english,11,Olga,Calvin,pies,10,5,0.5,0.425,0.8,0.15
20,M,25,0,English,1,Tracy,Mary,M&M's,10,5,0.5,0,1,0.5
20,M,25,0,English,2,Matt,Heather,pies,10,6,1,0,1,0.5
20,M,25,0,English,3,Kevin,Steven,cookies,10,4,0.75,0,0.5,0.5
20,M,25,0,English,4,Henry,Olga,M&M's,10,0,0,0,0,1
20,M,25,0,English,5,Patty,Yvonne,M&M's,10,9,1,0,1,0
20,M,25,0,English,6,Jake,Oliver,pies,10,1,0,1,0,0.5
20,M,25,0,English,7,Frank,Lena,cookies,10,10,1,0,1,0
20,M,25,0,English,8,Emma,Patrick,pies,10,4,0.5,0.25,0.825,0.5
20,M,25,0,English,9,Fiona,Grace,pies,10,3,0,0.5,0,0.5
20,M,25,0,English,10,Nathan,George,cookies,10,9,1,0,1,0
20,M,25,0,English,11,Victoria,Cathy,cookies,10,0,0.225,0.225,0,1
21,F,25,4,English,1,Wendy,Victoria,pies,10,0,0.45,0.55,0.4,1
21,F,25,4,English,2,Lena,Barbara,cookies,10,6,0.775,0.15,1,0.125
21,F,25,4,English,3,Mary,Nancy,M&M's,10,4,0,1,0,0
21,F,25,4,English,4,Jake,Ann,cookies,10,10,1,0,1,0
21,F,25,4,English,5,Iris,Tom,pies,10,9,0.925,0.075,0.9,0
21,F,25,4,English,6,Edward,Nathan,M&M's,10,6,0.525,0.375,0.65,0.3
21,F,25,4,English,7,Jane,Yvonne,pies,10,3,0.225,0.85,0.15,0.225
21,F,25,4,English,8,Fiona,Winston,pies,10,4,0.25,0.6,0.35,0.2
21,F,25,4,English,9,Kathy,Rebecca,M&M's,10,1,0.325,0.7,0.725,0.35
21,F,25,4,English,10,Kevin,Steven,pies,10,1,0.075,0.725,0.85,0.15
21,F,25,4,English,11,Grace,Oliver,pies,10,10,1,0,1,0
22,M,66,4,English,1,Patty,Winston,M&M's,10,2,0.225,0.75,0.2,0.5
22,M,66,4,English,2,Nancy,Calvin,M&M's,10,8,0.925,0.15,0.9,0.1
22,M,66,4,English,3,Tom,Olga,M&M's,10,1,0.025,1,0.5,0.5
22,M,66,4,English,4,David,Edward,cookies,10,8,0.025,1,0.975,0.975
22,M,66,4,English,5,Jake,Cathy,cookies,10,4,0.65,0.35,0.65,0.5
22,M,66,4,English,6,Barbara,Tracy,pies,10,1,0,0.975,0.5,0.5
22,M,66,4,English,7,Ann,Bob,M&M's,10,6,0.075,0.075,0.9,0.1
22,M,66,4,English,8,Albert,Matt,pies,10,4,0.5,0.5,0.5,0.5
22,M,66,4,English,9,Lena,Stephanie,pies,10,2,0.025,0.575,0.35,0.5
22,M,66,4,English,10,Steven,Victor,cookies,10,2,0.375,0.625,0.5,0.5
22,M,66,4,English,11,Zack,Diana,pies,10,6,0.675,0.325,0.7,0.3
23,F,65,6,english,1,Oliver,Nathan,cookies,10,10,0.825,0.15,0.85,0.35
23,F,65,6,english,2,Bob,Olga,M&M's,10,7,0.375,0.375,0.725,0.5
23,F,65,6,english,3,Frank,Victor,M&M's,10,10,0.75,0.125,0.875,0.2
23,F,65,6,english,4,Nancy,Winston,M&M's,10,3,0.25,0.575,0.25,0.5
23,F,65,6,english,5,Fiona,Ann,cookies,10,2,0.15,0.75,0.225,0.5
23,F,65,6,english,6,Patrick,Robert,cookies,10,4,0.225,0.675,0.225,0.5
23,F,65,6,english,7,Jane,Tom,cookies,10,9,0.675,0.375,0.8,0.275
23,F,65,6,english,8,Kathy,Mary,cookies,10,5,0.575,0.4,0.575,0.25
23,F,65,6,english,9,Lena,Tracy,M&M's,10,8,0.55,0.425,0.825,0.35
23,F,65,6,english,10,Iris,Rebecca,cookies,10,3,0.125,0.7,0.3,0.5
23,F,65,6,english,11,Stephanie,Yvonne,pies,10,1,0.15,0.6,0.575,0.5
24,F,45,0,English,1,Robert,Oliver,M&M's,10,0,0.5,0.5,0.75,0.5
24,F,45,0,English,2,Grace,Victoria,cookies,10,5,0.5,0.5,1,0
24,F,45,0,English,3,Fiona,David,cookies,10,0,0.5,0.375,0.775,0.4
24,F,45,0,English,4,Wendy,Nancy,M&M's,10,1,0,0.5,0.225,0.725
24,F,45,0,English,5,Rebecca,Diana,cookies,10,8,0.5,0.5,0.975,0
24,F,45,0,English,6,Zack,Kevin,pies,10,3,0.5,0.5,1,0.25
24,F,45,0,English,7,Kathy,Iris,pies,10,0,0.65,0.5,0.65,0.5
24,F,45,0,English,8,Jake,Frank,M&M's,10,2,0,0.5,0.5,0.5
24,F,45,0,English,9,Cathy,Barbara,cookies,10,9,0.5,0.5,1,0
24,F,45,0,English,10,Mary,Larry,cookies,10,10,0.5,0.5,1,0
24,F,45,0,English,11,Victor,Tom,M&M's,10,4,0.5,0.5,0.7,0.375
25,F,45,6,english,1,Winston,Grace,pies,10,10,0.9,0.175,0.7,0.175
25,F,45,6,english,2,Steven,Kathy,M&M's,10,5,0.1,0.425,0.3,0.5
25,F,45,6,english,3,Calvin,Bob,cookies,10,4,0.35,0.35,0.275,0.45
25,F,45,6,english,4,Diana,Rebecca,M&M's,10,1,0.075,0.525,0.125,0.475
25,F,45,6,english,5,Lena,Larry,cookies,10,2,0.075,0.55,0.15,0.35
25,F,45,6,english,6,Patty,Wendy,cookies,10,1,0.1,0.475,0.05,0.225
25,F,45,6,english,7,Heather,Ivan,pies,10,9,0.775,0.15,0.8,0.2
25,F,45,6,english,8,Iris,Yvonne,cookies,10,8,0.725,0.175,0.4,0.175
25,F,45,6,english,9,Emma,Cathy,pies,10,6,0.45,0.3,0.4,0.375
25,F,45,6,english,10,Frank,Victoria,cookies,10,7,0.6,0.35,0.45,0.4
25,F,45,6,english,11,Olga,Kevin,M&M's,10,8,0.75,0.4,0.35,0.25
26,F,35,10,English,1,Barbara,Ann,pies,10,9,0.8,0.175,0.65,0.025
26,F,35,10,English,2,Jane,Kevin,pies,10,3,0.675,0.425,0.6,0.275
26,F,35,10,English,3,Calvin,Edward,pies,10,2,0.575,0.425,0.6,0.025
26,F,35,10,English,4,Frank,Tracy,cookies,10,5,0.575,0.4,0.4,0
26,F,35,10,English,5,Zack,Heather,pies,10,1,0.15,0.75,0.15,0.6
26,F,35,10,English,6,Matt,Olga,M&M's,10,6,0.225,0.675,0.35,0.475
26,F,35,10,English,7,George,Grace,cookies,10,9,0.725,0.225,0.6,0
26,F,35,10,English,8,Bob,Winston,M&M's,10,1,0.25,0.6,0.55,0
26,F,35,10,English,9,David,Rebecca,pies,10,8,0.7,0.225,0.8,0
26,F,35,10,English,10,Steven,Nancy,pies,10,5,0.725,0.35,0.675,0
26,F,35,10,English,11,Fiona,Yvonne,pies,10,6,0.7,0.3,0.65,0
27,F,45,0,English,1,Frank,Barbara,M&M's,10,3,0.025,0.5,0,1
27,F,45,0,English,2,Edward,Emma,pies,10,5,1,0,1,0
27,F,45,0,English,3,Calvin,Nancy,cookies,10,1,0,0.5,0,1
27,F,45,0,English,4,Tom,Ann,cookies,10,9,1,0,0,0
27,F,45,0,English,5,David,Jake,pies,10,9,1,0,1,0
27,F,45,0,English,6,Yvonne,Grace,cookies,10,8,1,0,0,0
27,F,45,0,English,7,Tracy,Patrick,M&M's,10,7,0.85,0.125,0.125,0.125
27,F,45,0,English,8,Heather,Victor,cookies,10,4,0.5,0.5,0.125,0.325
27,F,45,0,English,9,Oliver,Mary,pies,10,7,0.925,0.125,0.05,0.125
27,F,45,0,English,10,Ivan,Zack,pies,10,2,0.025,0.5,0,0.5
27,F,45,0,English,11,Larry,Rebecca,cookies,10,2,0,0.5,0.025,1
28,M,45,8,English,1,Barbara,Oliver,M&M's,10,10,0.7,0.325,0.6,0.45
28,M,45,8,English,2,Patrick,Kathy,pies,10,6,0.325,0.7,1,0.15
28,M,45,8,English,3,Iris,Nancy,cookies,10,2,0.15,0.75,0.225,0.075
28,M,45,8,English,4,David,Yvonne,pies,10,2,0.05,0.7,0.05,0.85
28,M,45,8,English,5,Jane,Wendy,pies,10,9,0.4,0.35,0.95,0.175
28,M,45,8,English,6,Grace,Nathan,cookies,10,5,0.725,0.3,0.65,0.125
28,M,45,8,English,7,Tom,Zack,M&M's,10,6,0.55,0.4,0.55,0.3
28,M,45,8,English,8,Robert,Olga,M&M's,10,9,0.325,0.675,0.85,0.225
28,M,45,8,English,9,Cathy,Lena,cookies,10,10,0.625,0.375,1,0
28,M,45,8,English,10,Larry,Matt,M&M's,10,8,0.775,0.075,0.85,0.15
28,M,45,8,English,11,Emma,Tracy,pies,10,3,0.55,0.425,0.55,0.3
29,F,35,8,english,1,David,Stephanie,M&M's,10,5,0.025,0.625,0.025,0.5
29,F,35,8,english,2,Ivan,Patty,pies,10,0,0.05,0.5,0.075,0.5
29,F,35,8,english,3,Jake,Oliver,M&M's,10,2,0.125,0.575,0.2,0.5
29,F,35,8,english,4,Nathan,Lena,cookies,10,6,0.15,0.675,0.675,0.375
29,F,35,8,english,5,George,Albert,pies,10,5,0.675,0.1,0.95,0.075
29,F,35,8,english,6,Diana,Nancy,M&M's,10,1,0.125,0.35,0.6,0.6
29,F,35,8,english,7,Larry,Mary,cookies,10,1,0,0.675,0,0.8
29,F,35,8,english,8,Yvonne,Cathy,M&M's,10,0,0.025,0.55,0.1,0.8
29,F,35,8,english,9,Frank,Winston,cookies,10,0,0.225,0.5,0.125,0.65
29,F,35,8,english,10,Wendy,Victoria,M&M's,10,4,0.025,0.625,0.025,0.775
