"","workerID","gender","age","income","language","order","personA","personB","food","totalQuant","eatenQuant","affect","probAffect","subjectMeans","subectSDs","zscore","probit"
"55",5,"M",45,4,"English",11,"Victor","Kathy","cookies","10","6","upset",0.7,0.489204545454545,0.300067711703151,0.702492958502609,0.758814104251641
"56",6,"M",65,4,"English",1,"Bob","Iris","cookies","10","1","upset",0.125,0.485227272727273,0.26873509595332,-1.34045488717947,0.0900487507881456
"57",6,"M",65,4,"English",2,"Nancy","Albert","pies","10","6","upset",0.6,0.485227272727273,0.26873509595332,0.427084995599769,0.665341289412617
"58",6,"M",65,4,"English",3,"Cathy","Kevin","M&M's","10","4","upset",0.425,0.485227272727273,0.26873509595332,-0.224113908582057,0.411334335123451
"59",6,"M",65,4,"English",4,"Steven","Mary","pies","10","8","upset",0.725,0.485227272727273,0.26873509595332,0.892227070015359,0.813864382267647
"60",6,"M",65,4,"English",5,"Jake","Larry","cookies","10","4","upset",0.525,0.485227272727273,0.26873509595332,0.147999750950415,0.558828517604686
"61",6,"M",65,4,"English",6,"Diana","Robert","cookies","10","9","upset",0.6,0.485227272727273,0.26873509595332,0.427084995599769,0.665341289412617
"62",6,"M",65,4,"English",7,"Ivan","Patrick","cookies","10","10","upset",0.9,0.485227272727273,0.26873509595332,1.54342597419719,0.938636272211197
"63",6,"M",65,4,"English",8,"Fiona","Tom","M&M's","10","7","upset",0.175,0.485227272727273,0.26873509595332,-1.15439805741324,0.12416850561475
"64",6,"M",65,4,"English",9,"Heather","Henry","M&M's","10","0","upset",0.225,0.485227272727273,0.26873509595332,-0.968341227647001,0.166436990583513
"65",6,"M",65,4,"English",10,"Emma","Ann","pies","10","3","upset",0.525,0.485227272727273,0.26873509595332,0.147999750950415,0.558828517604686
"66",6,"M",65,4,"English",11,"Olga","Calvin","pies","10","9","upset",0.9,0.485227272727273,0.26873509595332,1.54342597419719,0.938636272211197
"67",7,"M",25,4,"english",1,"Tracy","Heather","M&M's","10","0","upset",0.175,0.419318181818182,0.284066383719384,-0.8600742496146,0.194874057356564
"68",7,"M",25,4,"english",2,"David","Rebecca","M&M's","10","1","upset",0.125,0.419318181818182,0.284066383719384,-1.03608944488456,0.150080207997512
"69",7,"M",25,4,"english",3,"Bob","Kathy","pies","10","7","upset",0.125,0.419318181818182,0.284066383719384,-1.03608944488456,0.150080207997512
"70",7,"M",25,4,"english",4,"Jane","Calvin","cookies","10","5","upset",0.125,0.419318181818182,0.284066383719384,-1.03608944488456,0.150080207997512
"71",7,"M",25,4,"english",5,"Steven","Larry","M&M's","10","5","upset",0.125,0.419318181818182,0.284066383719384,-1.03608944488456,0.150080207997512
"72",7,"M",25,4,"english",6,"Robert","Frank","pies","10","10","upset",0.675,0.419318181818182,0.284066383719384,0.900077703085047,0.815960549575086
"73",7,"M",25,4,"english",7,"Fiona","Tom","cookies","10","8","upset",0.3,0.419318181818182,0.284066383719384,-0.420036261439688,0.337229481998737
"74",7,"M",25,4,"english",8,"Henry","Lena","cookies","10","10","upset",0.65,0.419318181818182,0.284066383719384,0.812070105450064,0.791624297156206
"75",7,"M",25,4,"english",9,"Nathan","Stephanie","pies","10","0","upset",0.3,0.419318181818182,0.284066383719384,-0.420036261439688,0.337229481998737
"76",7,"M",25,4,"english",10,"Patrick","Diana","pies","10","8","upset",0.2,0.419318181818182,0.284066383719384,-0.772066651979618,0.220037476089201
"77",7,"M",25,4,"english",11,"Jake","Wendy","M&M's","10","10","upset",0.175,0.419318181818182,0.284066383719384,-0.8600742496146,0.194874057356564
"78",8,"M",65,6,"English",1,"Olga","Nancy","M&M's","10","6","upset",0.325,0.409090909090909,0.319615089595014,-0.263100560106412,0.396236536123744
"79",8,"M",65,6,"English",2,"Calvin","Larry","pies","10","0","upset",0,0.409090909090909,0.319615089595014,-1.27994867078795,0.100281594360997
"80",8,"M",65,6,"English",3,"Steven","Emma","M&M's","10","5","upset",0,0.409090909090909,0.319615089595014,-1.27994867078795,0.100281594360997
"81",8,"M",65,6,"English",4,"Grace","Winston","pies","10","2","upset",0,0.409090909090909,0.319615089595014,-1.27994867078795,0.100281594360997
"82",8,"M",65,6,"English",5,"Oliver","Wendy","cookies","10","7","upset",0.375,0.409090909090909,0.319615089595014,-0.106662389232329,0.457528410689458
"83",8,"M",65,6,"English",6,"Cathy","Heather","M&M's","10","9","upset",0,0.409090909090909,0.319615089595014,-1.27994867078795,0.100281594360997
"84",8,"M",65,6,"English",7,"Frank","Jane","M&M's","10","2","upset",0,0.409090909090909,0.319615089595014,-1.27994867078795,0.100281594360997
"85",8,"M",65,6,"English",8,"Lena","George","pies","10","6","upset",0.6,0.409090909090909,0.319615089595014,0.597309379701042,0.724849578355157
