workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.foods	Answer.quantities	Answer.personAs	Answer.personBs	Answer.priors0	Answer.priors1	Answer.priors2	Answer.priors3	Answer.priors4	Answer.priors5	Answer.priors6	Answer.priors7	Answer.priors8	Answer.priors9	Answer.priors10
13	M	35	6	english	1,2,3	cookies,pies,M&M's	10,10,10	Frank,Barbara,Calvin	Emma,Ann,David	0.1,0.225,0.35	0.675,0.675,0.625	0.825,0.8,0.775	0.575,0.675,0.825	0.375,0.325,0.625	0.25,0.2,0.425	0.125,0.1,0.3	0.1,0.05,0.125	0.1,0.05,0.05	0.1,0.05,0.05	0.1,0.025,0.025
14	F	35	4	English	1,2,3	cookies,pies,M&M's	10,10,10	Emma,Fiona,Bob	Barbara,Diana,Cathy	0.025,0.5,0.95	1,0.95,0.95	0.975,0.5,0.95	0.975,0.5,0.5	0.925,0.7,0.5	0.925,0.075,0.5	0.925,0.05,0.125	0.925,0.05,0.1	0.9,0.05,0.05	0.925,0.05,0	0.925,0,0.075
15	M	25	4	English	1,2,3	pies,M&M's,cookies	10,10,10	Cathy,Diana,Frank	Calvin,Emma,Albert	0.775,0.8,0.725	0.825,0.85,0.825	0.2,0.825,0.75	0.15,0.825,0.6	0.1,0.825,0.5	0,0.825,0.5	0,0.825,0.3	0,0.5,0.2	0,0.325,0.1	0,0.325,0.05	0,0.175,0
16	F	35	4	english	1,2,3	cookies,pies,M&M's	10,10,10	Albert,Diana,Ann	Bob,David,Fiona	0.5,0.5,0.625	0.6,0.2,0.075	0.6,0,0.175	0.525,0,0.3	0.425,0,0.375	0.325,0,0.45	0.275,0,0.525	0.2,0,0.575	0.15,0,0.475	0.1,0,0.375	0.075,0,0.275
17	F	35	6	english	1,2,3	pies,M&M's,cookies	10,10,10	Albert,Ann,Bob	Barbara,Diana,Calvin	0.975,0.85,0.375	0.85,0.95,0.675	0.35,0.95,0.9	0.1,1,0.925	0,0.925,0.85	0,0.95,0.575	0.025,1,0.325	0,0.95,0.225	0.025,0.975,0.175	0,0.975,0.1	0,0.975,0.075
18	F	35	6	English	1,2,3	cookies,pies,M&M's	10,10,10	Calvin,Emma,Frank	Albert,Barbara,Diana	0.7,0.5,0.75	0.725,0.725,0.675	0.725,0.55,0.825	0.725,0.425,0.725	0.725,0.025,0.875	0.425,0.025,0.85	0.35,0.025,0.875	0.125,0,0.875	0.05,0.025,0.85	0.025,0,0.825	0.025,0,0.825
19	M	25	0	English	1,2,3	cookies,pies,M&M's	10,10,10	Bob,Ann,Frank	Fiona,Emma,Diana	0.5,0.5,0.5	0.5,0.5,0.5	0.5,0,0.5	0.5,0,0.5	0.5,0,0.5	0,0,0.5	0,0,0.5	0,0,0	0,0,0	0,0,0	0,0,0
20	M	35	6	english	1,2,3	cookies,pies,M&M's	10,10,10	Calvin,Cathy,Fiona	Diana,Bob,Albert	0.7,0.625,0.8	0.75,0.675,0.775	0.75,0.35,0.775	0.75,0.15,0.75	0.725,0.15,0.775	0.325,0.025,0.75	0.125,0.025,0.75	0.075,0.025,0.725	0.075,0.025,0.7	0.1,0.025,0.75	0.1,0.025,0.8
21	M	35	8	English	1,2,3	cookies,pies,M&M's	10,10,10	Frank,Bob,Calvin	David,Ann,Cathy	0.95,0.975,0.975	0.925,0.3,0.9	0.975,0.075,0.75	0.825,0.05,0.625	0.675,0.025,0.55	0.6,0,0.45	0.475,0.025,0.275	0.425,0.025,0.2	0.35,0.025,0.075	0.325,0,0.075	0.25,0,0.025
22	F	55	8	English	1,2,3	cookies,pies,M&M's	10,10,10	David,Bob,Edward	Calvin,Frank,Fiona	0.4,0.55,0.15	0.425,0.75,0.1	0.15,0.375,0.1	0.5,0.175,0.15	0.425,0.05,0.175	0.425,0.05,0.4	0.35,0.05,0.4	0.275,0.025,0.425	0.15,0.05,0.4	0.1,0.05,0.4	0.05,0.025,0.4
23	F	35	8	english	1,2,3	cookies,pies,M&M's	10,10,10	Emma,Cathy,Bob	Ann,Fiona,Edward	0.25,0.9,0.35	0.875,0.1,0.875	0.7,0,0.875	0.275,0,0.875	0.15,0,0.875	0.075,0,0.85	0.025,0,0.85	0.025,0,0.85	0,0,0.825	0,0,0.825	0,0.025,0.8
24	M	25	4	English	1,2,3	pies,M&M's,cookies	10,10,10	Ann,David,Bob	Cathy,Barbara,Frank	0.625,0.575,0.45	0.65,0.75,0.85	0.3,0.75,0.725	0.15,0.8,0.6	0.1,0.8,0.5	0.075,0.8,0.45	0.05,0.8,0.375	0,0.8,0.275	0,0.75,0.225	0,0.75,0.225	0,0.75,0.225
25	F	25	4	Spanish	1,2,3	cookies,pies,M&M's	10,10,10	Calvin,Bob,David	Barbara,Diana,Emma	0.025,1,0	0.2,0.125,0.475	0.375,0.125,0.675	0.95,0.125,0.875	0.775,0.1,0.625	0.625,0.1,0.45	0.4,0.1,0.35	0.275,0.1,0.275	0.225,0.1,0.2	0.1,0.05,0.1	0,0,0
26	M	45	4	english	1,2,3	cookies,pies,M&M's	10,10,10	Emma,Ann,Fiona	Calvin,Cathy,Barbara	0.2,0.975,1	0.925,0.9,1	0.875,0.85,1	0.875,0.225,1	0.775,0.15,1	0.3,0.125,1	0.225,0.1,0.95	0.175,0.025,1	0.175,0,1	0.2,0,1	0,0,1
27	M	35	4	English	1,2,3	pies,M&M's,cookies	10,10,10	Barbara,Fiona,Cathy	Frank,Emma,Ann	0.55,0.5,0.5	0.2,0.5,0.5	0,0.5,0.5	0,0.5,0.5	0,0.5,0.5	0,0.5,0	0,0.2,0	0,0.175,0	0,0.125,0	0,0.175,0	0,0.025,0
28	M	65	4	English	1,2,3	cookies,pies,M&M's	10,10,10	Cathy,Ann,Frank	Emma,Bob,Diana	0.525,0.225,0.5	0.675,0.125,0.075	0.675,0.125,0.1	0.5,0.125,0.15	0.375,0.125,0.2	0.375,0.125,0.3	0.275,0.125,0.375	0.275,0.075,0.5	0.15,0.075,0.575	0.15,0.075,0.5	0.1,0.075,0.325
29	M	35	0	english	1,2,3	pies,M&M's,cookies	10,10,10	Edward,Calvin,Diana	Barbara,Ann,Cathy	0.675,0.35,0.75	0.3,0.775,0.35	0.6,0.375,0.65	0.675,0.65,0.7	0.575,0.725,0.375	0.325,0.675,0.3	0.65,0.375,0.15	0.675,0.325,0.15	0.7,0.625,0.675	0.65,0.625,0.15	0.6,0.35,0.075
30	M	65	0	English	1,2,3	pies,M&M's,cookies	10,10,10	Cathy,Bob,Frank	Fiona,Ann,Edward	0.95,0.95,0.975	0.975,0.975,0.95	0.725,0.95,0.975	0.5,0.975,0.975	0.125,0.975,0.95	0.025,0.95,0.975	0.025,0.95,0.675	0.025,0.975,0.55	0.025,0.975,0.5	0.025,0.95,0.35	0,0.95,0.175
31	M	25	4	English	1,2,3	cookies,pies,M&M's	10,10,10	Fiona,Edward,Barbara	Emma,Albert,Bob	0.125,0.15,0.175	0.225,0.275,0.275	0.3,0.375,0.375	0.25,0.475,0.5	0.2,0.55,0.575	0.15,0.475,0.575	0.075,0.4,0.425	0.075,0.325,0.35	0.075,0.275,0.275	0.075,0.2,0.175	0.075,0.05,0.1
32	F	25	4	English	1,2,3	cookies,pies,M&M's	10,10,10	Emma,Calvin,Ann	Diana,Albert,Cathy	0,1,0.175	1,0.75,0.85	0.725,0,0.85	0.35,0,0.65	0.175,0,0.45	0,0,0.425	0,0,0.45	0,0,0.45	0,0,0.45	0,0,0.3	0,0,0.175
33	F	45	0	english	1,2,3	cookies,pies,M&M's	10,10,10	Ann,Diana,Fiona	Albert,Frank,Cathy	0,1,0	0.625,0.5,0	0.75,0.25,0	1,0,0.275	0.225,0,0.275	0.3,0,0.275	0.325,0.025,0.675	0.175,0,0.775	0.175,0,0.625	0.15,0,0.625	0,0,1
34	M	25	4	english	1,2,3	cookies,pies,M&M's	10,10,10	Calvin,Emma,Fiona	Edward,Barbara,Frank	1,0.975,0.5	1,0.5,0.85	1,0.05,0.875	0.025,0.025,0.85	0,0,0.65	0,0.05,0.7	0.025,0.025,0.75	0.025,0.025,0.15	0.025,0.025,0.05	0.05,0,0.025	0.025,0.025,0.025
35	M	65	4	English	1,2,3	pies,M&M's,cookies	10,10,10	Edward,Ann,Diana	Barbara,David,Calvin	0.2,0.1,0.275	0.75,0.1,0.725	0.65,0.1,0.575	0.425,0.1,0.45	0.325,0.1,0.35	0.225,0.1,0.275	0.15,0.1,0.2	0.075,0.1,0.125	0.075,0.1,0.075	0.05,0.1,0.075	0.05,0.1,0.075
36	M	35	0	english	1,2,3	cookies,pies,M&M's	10,10,10	Calvin,Albert,Bob	Edward,Barbara,Fiona	1,1,1	1,1,1	0.85,0,1	0.675,0,1	0.475,0,1	0,0,1	0,0,1	0,0,1	0,0,1	0,0,1	0,0,1
37	F	25	6	english	1,2,3	pies,M&M's,cookies	10,10,10	Albert,Cathy,Diana	Emma,Frank,Fiona	0.6,0.975,0.425	0.175,0.975,0.45	0,0.975,0.425	0,0.975,0.45	0.025,0.975,0.225	0.025,0.975,0.15	0.025,0.975,0.2	0.025,0.975,0.25	0.025,1,0.175	0,0.925,0.175	0.025,0.975,0.25
38	F	55	4	English	1,2,3	cookies,pies,M&M's	10,10,10	Edward,Frank,Fiona	Calvin,Bob,Albert	0,0,0	0.7,0.975,0	0.8,0,0	0.9,0,0	0,0,0	0,0,1	0,0,0	0,0,0	0,0,0	0,0,0	0,0,0
39	F	45	6	English	1,2,3	pies,M&M's,cookies	10,10,10	Barbara,Fiona,Edward	Bob,David,Frank	0.125,0.05,0.9	0.725,0.3,0.825	0.4,0.3,0.8	0.3,0.525,0.4	0.2,0.825,0.4	0.125,0.85,0.25	0.05,0.85,0.1	0.05,0.375,0.1	0.05,0.375,0.075	0.05,0.25,0.075	0.05,0.1,0.05
40	M	45	4	English	1,2,3	pies,M&M's,cookies	10,10,10	Cathy,Frank,Edward	David,Ann,Diana	0,0,0	0.975,0,0.125	0,0,0.2	0,0,0.575	0,0,0.725	0,0,0.975	0,0,0	0,0.575,0	0,0.7,0	0,0.825,0	0,0.975,0
