workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.foods	Answer.quantities	Answer.quantifiers	Answer.personAs	Answer.personBs	Answer.priors0	Answer.priors1	Answer.priors2	Answer.priors3	Answer.priors4	Answer.priors5	Answer.priors6	Answer.priors7	Answer.priors8	Answer.priors9	Answer.priors10
11	M	25	4	English	1,2,3	cookies,pies,M&M's	10,10,10	all,all,some	Cathy,Edward,Albert	Ann,Barbara,Emma	0,0,0.275	0.025,0,0.2	0,0,0.65	0.025,0,0.675	0,0,0.7	0,0,0.75	0,0,0.65	0,0,0.75	0,0,0.65	0,0,0	1,1,0
12	F	25	4	english	1,2,3	pies,M&M's,cookies	10,10,10	some,some,all	Calvin,Edward,Diana	Ann,Bob,Fiona	0.025,0,0	0.425,0.85,0	0.525,0.925,0	0.525,0.9,0	0.5,0,0	0.5,0,0	0.65,0,0	0.575,0,0	0.575,0,0	0.55,0,0	0.675,0,1
13	M	35	0	english	1,2,3	pies,M&M's,cookies	10,10,10	all,all,all	Calvin,Bob,Frank	David,Cathy,Emma	0.775,0.925,0.825	0.7,0.875,0.85	0.525,0.85,0.875	0.4,0.85,0.85	0.325,0.85,0.825	0.3,0.825,0.825	0.275,0.825,0.675	0.2,0.875,0.7	0.15,0.875,0.65	0.075,0.8,0.65	0,0.8,0.65
14	F	25	4	english	1,2,3	M&M's,pies,cookies	10,10,10	some,all,some	Fiona,Barbara,David	Calvin,Ann,Edward	0,0,0.025	0,0,0	0.725,0,0.925	1,0,1	1,0,1	1,0,0.675	0.2,0,0	0,0,0	0,0,0	0,0,0	0,1,0
15	M	35	4	English	1,2,3	cookies,pies,M&M's	10,10,10	some,some,some	Emma,Fiona,Albert	Calvin,Barbara,David	0.175,0.1,0.05	0.375,0.2,0.15	0.575,0.575,0.5	0.675,0.65,0.55	0.6,0.675,0.6	0.375,0.425,0.65	0.15,0.275,0.5	0.15,0.1,0.45	0.1,0.125,0.175	0.1,0.075,0.125	0.1,0.075,0.15
16	F	25	4	English	1,2,3	pies,M&M's,cookies	10,10,10	all,some,all	Frank,David,Albert	Edward,Cathy,Fiona	0.1,0.05,0.05	0.15,0.2,0.05	0.15,0.4,0.05	0.15,0.5,0.15	0.275,0.525,0.15	0.425,0.5,0.15	0.6,0.35,0.35	0.675,0.25,0.5	0.675,0.175,0.6	0.675,0.125,0.85	0.825,0.075,0.85
17	F	65	6	English	1,2,3	pies,M&M's,cookies	10,10,10	all,some,all	Albert,Barbara,Calvin	Bob,Ann,Emma	0.025,0.025,0	0.025,0.975,0.025	0.025,0.5,0	0.025,0.5,0.025	0.025,0.5,0.025	0.025,0.5,0.025	0.025,0.5,0	0.05,0.5,0.025	0.025,0.5,0.025	0.025,0.5,0.025	0.975,0.2,0.95
18	M	25	0	English	1,2,3	cookies,pies,M&M's	10,10,10	all,some,some	Ann,Diana,Emma	Edward,Fiona,Cathy	0,0,0	0,0.5,0.5	0,0.5,0.5	0,0.5,0.5	0,0.5,0.5	0,0.5,0.5	0,0.5,0.5	0,0.5,0.5	0,0.5,0.5	0,0.5,0.5	1,0,0
19	M	45	8	ENGLISH	1,2,3	pies,M&M's,cookies	10,10,10	some,some,all	Edward,Calvin,Diana	Barbara,Emma,Cathy	0,0,0.025	0.8,0.5,0	0.4,0.5,0	0.5,0.5,0.025	0.2,0.5,0	0.175,0.5,0.025	0.075,0.5,0	0,0.5,0	0,0.5,0	0,0.5,0	0,0.5,1
20	F	55	6	english	1,2,3	cookies,pies,M&M's	10,10,10	all,some,all	Frank,Diana,Albert	Edward,Bob,Fiona	0,0.025,0	0,0.65,0	0.025,0.7,0.025	0,0.675,0.025	0,0.7,0	0,0.7,0	0,0.575,0	0.025,0.425,0.025	0.025,0.325,0.025	1,0.3,0.025	0.975,0.2,1
21	M	35	4	English	1,2,3	pies,M&M's,cookies	10,10,10	all,some,some	Ann,Calvin,Albert	David,Bob,Edward	0.15,0.075,0.025	0.975,1,1	0.925,0.95,0.95	0.925,0.9,0.925	0.925,0.675,0.7	0.9,0.475,0.5	0.875,0.4,0.3	0.85,0.3,0.175	0.825,0.2,0.075	0.8,0.1,0.025	0.775,0.05,0
22	F	55	10	TURKISH	1,2,3	pies,M&M's,cookies	10,10,10	all,some,some	Bob,Cathy,Frank	Fiona,Albert,Barbara	0,0.025,0	0.975,0.975,1	0.9,1,1	0.775,0.775,0.8	0.6,0.575,0.6	0.325,0.325,0.425	0.175,0.15,0.175	0.1,0.025,0	0.075,0,0	0,0,0.025	0,0,0.025
23	F	45	11	english	1,2,3	cookies,pies,M&M's	10,10,10	some,all,all	Bob,Diana,Ann	Fiona,Frank,Albert	0.025,0,0	0.675,0,0	0.725,0.025,0.025	0.65,0.025,0	0.575,0,0	0.45,0.025,0	0.375,0,0	0.325,0.025,0	0.25,0,0	0.175,0,0.025	0.1,0.95,0.975
24	F	55	4	Tamil	1,2,3	cookies,pies,M&M's	10,10,10	all,some,all	Barbara,David,Diana	Emma,Frank,Cathy	0.975,0.9,0.875	0.825,0.85,0.875	0.675,0.9,0.85	0.625,0.875,0.775	0.5,0.825,0.75	0.5,0.775,0.725	0.45,0.8,0.675	0.35,0.75,0.675	0.3,0.775,0.675	0.05,0.775,0.65	0.025,0.775,0.675
25	F	17	4	english	1,2,3	cookies,pies,M&M's	10,10,10	all,some,all	Diana,Bob,Ann	Calvin,David,Cathy	0,0.65,0	1,0.5,1	0.95,0.325,1	0.975,0.15,1	0.85,0.1,0.975	0.625,0,0.975	0.65,0,1	0.475,0,1	0.4,0,1	0.275,0,1	0.2,0,1
26	F	45	0	english	1,2,3	pies,M&M's,cookies	10,10,10	some,all,all	Frank,Barbara,Calvin	Emma,Bob,Fiona	0.025,0.025,0	0.775,0.025,0	0.775,0.025,0	0.775,0.025,0	0.45,0.025,0	0.35,0.025,0	0.3,0.025,0	0.225,0,0	0.175,0,0	0.075,0,0	0.025,0.975,1
27	M	25	8	english	1,2,3	pies,M&M's,cookies	10,10,10	all,all,all	Fiona,Bob,Albert	Ann,Diana,Emma	0.025,0.025,0.025	0.125,0.025,0	0.225,0.025,0.025	0.4,0.025,0	0.4,0.025,0	0.7,0.025,0.025	0.725,0.05,0.025	0.775,0.175,0.225	0.775,0.275,0.625	0.85,0.35,0.775	0.975,0.975,0.95
28	M	25	4	english	1,2,3	cookies,pies,M&M's	10,10,10	some,some,some	Ann,Emma,Bob	Cathy,Barbara,Fiona	0,0.025,0.025	0.925,0.95,0.95	0.85,0.975,0.975	0.75,0.975,0.975	0.5,0.975,0.975	0.625,0.95,0.975	0.3,0.95,0.975	0.35,0.95,0.975	0.175,0.925,0.975	0.1,0.925,0.95	0.1,0.875,0.95
29	M	55	4	English	1,2,3	pies,M&M's,cookies	10,10,10	some,some,all	Albert,David,Cathy	Emma,Bob,Diana	0.975,0.975,1	0.95,1,1	0.025,0.6,1	0.025,0.025,1	0.05,0.025,1	0.025,0.025,1	0.025,0.025,1	0.025,0.025,1	0.025,0.025,1	0.025,0.025,1	0.025,0.025,1
30	F	25	6	English	1,2,3	cookies,pies,M&M's	10,10,10	some,some,all	Fiona,Emma,Ann	Albert,Frank,Bob	0.625,0.5,0.65	0.6,0.55,0.5	0.5,0.575,0.65	0.775,0.5,0.775	0.65,0.5,0.45	0.5,0.5,0.65	0.35,0.5,0.5	0.65,0.5,0.55	0.5,0.5,0.425	0.925,0.5,0.5	0.375,0.5,0.425
31	F	45	11	english	1,2,3	pies,M&M's,cookies	10,10,10	all,some,all	Calvin,Diana,Fiona	Emma,Bob,Albert	0.725,0.95,0.5	0.3,0.975,0.775	0,0.975,0.775	0,0.95,0.425	0,0.7,0.15	0,0.275,0.15	0,0.275,0.1	0,0.3,0.1	0,0.25,0	0,0.175,0	0,0.15,0
32	F	55	4	english	1,2,3	pies,M&M's,cookies	10,10,10	some,all,all	Frank,Fiona,Barbara	David,Edward,Diana	1,1,0.975	1,1,0.975	1,1,1	1,1,0.975	0,0.975,0.975	0,0.975,0.975	0,0.975,0.975	0,0.975,1	0,0.975,0.975	0,0.975,1	0,1,1
33	F	25	0	English	1,2,3	cookies,pies,M&M's	10,10,10	all,some,some	Edward,Diana,Ann	Barbara,Fiona,Emma	0.125,0.2,0	0.975,0.725,1	0.575,0.625,0.875	0.225,0.55,0.725	0.05,0.45,0.675	0.05,0.35,0.6	0.075,0.125,0.5	0.075,0,0.425	0.075,0,0.325	0,0,0.2	0,0,0.125
34	F	25	4	English	1,2,3	pies,M&M's,cookies	10,10,10	all,all,all	Calvin,Albert,David	Cathy,Fiona,Barbara	0,0,0	0.85,1,1	0.725,1,1	0.575,1,0.975	0.25,1,0.925	0.15,1,0.9	0.125,1,0.875	0.1,1,0.85	0.075,1,0.825	0.05,1,0.775	0,1,0.675
35	F	25	4	english	1,2,3	cookies,pies,M&M's	10,10,10	some,some,all	Fiona,Albert,David	Frank,Cathy,Ann	0.075,0.025,0.025	0.125,0.775,0.025	0.1,0.5,0	0.175,0.5,0.025	0.275,0.5,0	0.375,0.5,0.025	0.775,0.5,0.125	0.6,0.5,0.2	0.6,0.5,0.325	0.625,0.5,0.5	0.625,0.5,0.95
36	F	45	0	English	1,2,3	pies,M&M's,cookies	10,10,10	some,some,some	Bob,Cathy,Barbara	Fiona,Edward,Diana	0.075,0.075,0.075	0.9,1,0.9	0.9,0.75,0.625	0.65,0.55,0.3	0.3,0.525,0.225	0.275,0.425,0.2	0.2,0.325,0.175	0.15,0.225,0.15	0.15,0.2,0.1	0.15,0.075,0.1	0.15,0.075,0.05
37	F	45	4	english	1,2,3	cookies,pies,M&M's	10,10,10	some,some,all	Frank,Fiona,Emma	Calvin,Diana,Edward	0,0.025,0	0,0.025,0	0.35,0.65,0	0.525,0.525,0	0.65,0.3,0	0.675,0.2,0	0.475,0.125,0	0.325,0.075,0.025	0.225,0.05,0	0.2,0,0.05	0.025,0,0.95
38	M	17	4	English	1,2,3	cookies,pies,M&M's	10,10,10	all,all,some	Ann,Fiona,Albert	Edward,Barbara,Bob	0,0,0	0.125,0.9,0	0.25,0.175,0.025	0.45,0.125,0.1	0.65,0,0.2	0.925,0,0.275	0.725,0,0.375	0.575,0,0.525	0.45,0,0.625	0.3,0,0.725	0.15,0,0.85
39	F	45	6	English	1,2,3	pies,M&M's,cookies	10,10,10	all,some,all	Cathy,Ann,Calvin	Frank,Albert,Diana	0.025,0,0	1,1,1	1,1,1	1,1,1	1,1,1	1,0.2,1	1,0.15,1	1,0,1	1,0,1	1,0,1	1,0,1
40	F	65	6	english	1,2,3	pies,M&M's,cookies	10,10,10	all,all,all	Fiona,Emma,Cathy	Bob,Edward,Diana	0,0.325,0.125	0.025,0.325,0.125	0.025,0.35,0.125	0.025,0.375,0.25	0.025,0.4,0.4	0.025,0.475,0.525	0.025,0.525,0.65	0,0.625,0.75	0,0.825,0.825	0.05,0.825,0.875	0.05,0.825,0.9
