workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.foods	Answer.quantities	Answer.quantifiers	Answer.personAs	Answer.personBs	Answer.priors0	Answer.priors1	Answer.priors2	Answer.priors3	Answer.priors4	Answer.priors5	Answer.priors6	Answer.priors7	Answer.priors8	Answer.priors9	Answer.priors10
21	F	35	6	English!	1,2,3	cookies,pies,M&M's	10,10,10	all,all,some	Emma,Bob,Calvin	Ann,Diana,Fiona	0,0,0	0,0.1,0	0,0.125,0	0,0.85,0	0,0.525,0.65	0,0.225,0.725	0,0,0.675	0,0,0.9	0,0,0.175	0.75,0,0	0.75,0,0
22	F	45	8	English	1,2,3	cookies,pies,M&M's	10,10,10	all,some,some	Barbara,Frank,Edward	Albert,Ann,Cathy	0.5,0.65,0.875	0.5,0.35,0.825	0.325,0.675,0.7	0.65,0.575,0.875	0.775,0.325,0.7	0.5,0.775,0.75	0.4,0.3,0.85	0.675,0.825,0.675	0.25,0.6,0.775	0.8,0.25,0.55	0.375,0.425,0.9
23	M	25	4	english	1,2,3	cookies,pies,M&M's	10,10,10	all,some,all	Frank,Fiona,Ann	Cathy,Diana,Bob	0.975,0.975,0.975	0.975,0.975,0.975	0.95,0.3,1	0.875,0.15,0.975	0.85,0.075,0.8	0.8,0.075,0.7	0.725,0.025,0.625	0.65,0.025,0.5	0.4,0.025,0.45	0.275,0.025,0.325	0.15,0,0.275
24	F	35	4	english	1,2,3	pies,M&M's,cookies	10,10,10	some,all,all	Albert,Frank,Ann	Barbara,Calvin,Fiona	0.775,0.85,0.725	0.5,1,0.975	0.025,0.975,0.975	0.025,0.975,0.975	0.025,0.975,0.025	0.025,0.975,0.025	0.025,0.975,0	0.025,0.95,0	0.025,0.95,0.025	0.025,0.95,0.025	0.025,0.925,0
25	F	35	4	English	1,2,3	cookies,pies,M&M's	10,10,10	all,all,some	Albert,Edward,Emma	Ann,Cathy,Frank	0.625,0.5,0.525	0.55,0.325,0.75	0.55,0.35,0.75	0.575,0.375,0.75	0.575,0.35,0.725	0.575,0.325,0.75	0.55,0.375,0.725	0.55,0.3,0.725	0.55,0.3,0.725	0.55,0.275,0.725	0.475,0,0.75
26	F	35	4	English	1,2,3	cookies,pies,M&M's	10,10,10	some,all,all	Calvin,Bob,Albert	Cathy,Edward,Fiona	0,0,0.025	0,0,0.025	0.5,0,0.025	0.5,0.025,0.025	0.5,0.025,0.025	0.225,0,0.025	0.225,0,0.025	0.225,0,0.025	0.225,0.025,0.025	0.1,0,0.025	0,0.975,0.975
27	M	35	4	English	1,2,3	pies,M&M's,cookies	10,10,10	some,some,some	David,Barbara,Frank	Cathy,Fiona,Ann	0,0.05,0.025	0.2,0.15,0.25	0.375,0.25,0.3	0.375,0.3,0.275	0.275,0.25,0.225	0.175,0.25,0.25	0.075,0.15,0.225	0.05,0.075,0.1	0,0.025,0.1	0.05,0.15,0.05	0,0.125,0.025
28	M	25	0	English	1,2,3	cookies,pies,M&M's	10,10,10	all,all,all	Frank,Edward,Ann	David,Cathy,Emma	0.25,0.325,0.15	0.275,0.5,0.25	0.225,0.5,0.275	0.225,0.65,0.275	0.275,0.575,0.175	0.225,0.5,0.275	0.35,0.475,0.3	0.5,0.4,0.2	0.575,0.375,0.5	0.6,0.425,0.625	0.75,0.45,1
29	M	25	11	English	1,2,3	cookies,pies,M&M's	10,10,10	all,some,all	David,Cathy,Edward	Barbara,Fiona,Bob	0.525,0.725,1	0.725,0.575,1	0.775,0.125,1	0.9,0,1	0.75,0,1	0.575,0,1	0.4,0,1	0,0,1	0,0,1	0,0,1	0,0,1
30	M	45	8	English	1,2,3	pies,M&M's,cookies	10,10,10	some,some,all	Edward,Fiona,David	Cathy,Frank,Ann	0,0,0	1,1,1	1,1,1	0.8,0.9,1	0.575,0.725,1	0.325,0.55,1	0.15,0.25,1	0.075,0.125,1	0.075,0.075,1	0.075,0.075,1	0,0,1
31	M	65	4	english	1,2,3	pies,M&M's,cookies	10,10,10	all,all,some	Cathy,Frank,Fiona	Barbara,Bob,Ann	0.975,1,0.75	0.775,0.9,0.85	0.35,0.8,0.65	0.1,0.8,0.3	0,0.6,0.05	0,0.575,0.025	0,0,0.025	0,0,0	0,0,0	0,0,0	0,0,0
32	F	35	8	english	1,2,3	pies,M&M's,cookies	10,10,10	all,all,some	Calvin,Albert,Fiona	Bob,Emma,Cathy	0.025,0.025,0.025	0.025,0.05,0.7	0.125,0.075,0.85	0.2,0.125,0.825	0.35,0.175,0.675	0.6,0.5,0.425	0.7,0.675,0.35	0.8,0.85,0.225	0.9,0.9,0.125	0.9,0.95,0.075	0.975,1,0.05
33	F	35	6	English	1,2,3	pies,M&M's,cookies	10,10,10	all,some,some	Diana,Edward,Bob	Emma,Cathy,Ann	0.7,0.2,0.05	0.825,1,0.775	0.7,1,0.875	0,1,0.825	0,0.675,0.775	0,0.675,0.725	0,0.35,0.625	0,0.35,0.375	0,0.4,0.25	0,0.3,0.175	0,0.2,0.15
34	M	25	4	English	1,2,3	cookies,M&M's,pies	10,10,10	some,all,some	Edward,Bob,Frank	Cathy,Albert,Emma	0.575,0.55,0.675	0.8,0.625,0.375	0.6,0.75,0.825	0.275,0.6,0.575	0.8,0.825,0.575	0.375,0.65,0.4	0.75,0.375,0.575	0.5,0.575,0.575	0.55,0.325,0.75	0.5,0.55,0.55	0.5,0.525,0.55
35	F	35	4	english	1,2,3	cookies,pies,M&M's	10,10,10	some,all,all	Fiona,Frank,Cathy	Ann,Diana,David	0,0,0	1,1,0	0.975,0,0	0,0,0	0,0,0	0,0,0.475	0.025,0,0.475	0,0,0.475	0.025,0,0.475	0,0,0.825	0,0,1
36	M	25	4	English	1,2,3	pies,M&M's,cookies	10,10,10	some,some,some	Diana,Calvin,Frank	David,Emma,Ann	0,0,0	0.825,1,0.95	0.6,0.75,0.825	0.35,0.575,0.7	0,0.35,0.6	0,0.225,0.5	0,0.175,0.4	0,0.15,0.3	0,0.125,0	0,0.075,0	0,0,0
37	F	35	4	English	1,2,3	cookies,pies,M&M's	10,10,10	some,all,some	Cathy,Diana,Emma	Edward,Fiona,David	0.575,0.775,0.025	0.925,0.95,0.65	0.875,0.925,1	0.8,0.25,0.925	0.775,0.025,0.975	0.65,0,0.975	0.5,0.025,0.975	0.5,0.025,0.975	0.5,0.025,0.975	0.5,0,0.975	0.5,0,0.975
38	F	25	6	English	1,2,3	cookies,pies,M&M's	10,10,10	some,some,all	Fiona,Barbara,Cathy	David,Diana,Emma	0,0,0	0.8,1,0	0.775,0.65,0	0.675,0.525,0	0.5,0.5,0	0.5,0.5,0	0.5,0.5,0	0.5,0.5,0	0.5,0.5,0	0.5,0.5,0	0,0,1
39	F	55	11	English	1,2,3	pies,M&M's,cookies	10,10,10	all,some,all	Frank,Albert,Calvin	Barbara,Bob,Edward	0.5,0.5,0.5	0.35,0.5,0.5	0,0.5,0.5	0,0.5,0.5	0.025,0.5,0.5	0,0.5,0.5	0,0.5,0.5	0,0.5,0.5	0,0.5,0.5	0,0.5,0.5	0,0.5,0.5
40	F	35	4	english	1,2,3	cookies,pies,M&M's	10,10,10	all,some,all	Frank,Diana,Barbara	Cathy,Albert,David	0.025,0.125,0.775	0.05,0.1,0.775	0.05,0.3,0.875	0.05,0,0.65	0.05,0.125,0.7	0.025,0.1,0.675	0.05,0.175,0.675	0.05,0.025,0.625	0.05,0,0.65	0.05,0.225,0.7	0.025,0,0.8
